Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;1
9;0
10;1
11;2
12;1
13;0
14;1
15;0
16;0
17;3
18;1
19;0
20;1
21;0
22;2
23;3
24;2
25;2
26;1
27;2
28;1
29;1
30;1
31;3
32;3
33;2
34;1
35;1
36;1
37;1
38;2
39;2
40;0
41;4
42;1
43;2
44;1
45;3
46;0
47;4
48;3
49;0
50;1
51;3
52;2
53;1
54;2
55;2
56;0
57;3
58;2
59;0
60;0
61;3
62;1
63;0
64;2
65;0
66;0
67;0
68;2
69;0
70;1
71;1
72;1
73;2
74;2
75;4
76;1
77;2
78;0
79;1
80;0
81;1
82;2
83;0
84;2
85;1
86;1
87;0
88;1
89;1
90;1
91;1
92;2
93;0
94;2
95;2
96;3
97;1
98;1
99;0
