#koszt poszczgolnego procesu
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4

#macierz procesow - jesli zależa to wartość = wadze krawędzi
 ; ;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; ; ;1;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 


#liczba procesorów
2

#koszt/mnożna zmiany procesora
;1
1;
