Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;50;59;70;50;50
1;47;53;60;51;50
2;46;53;61;46;46
3;47;51;56;49;46
4;46;51;59;46;46
5;47;51;56;49;46
6;46;51;59;46;46
7;47;51;56;47;46
8;46;51;57;46;46
9;47;51;56;47;46
10;46;51;57;50;46
11;47;53;60;47;46
12;46;51;57;48;46
13;47;51;58;47;46
14;46;51;57;46;46
15;47;51;56;47;46
16;46;51;57;46;46
17;47;51;56;49;46
18;46;51;59;46;46
19;47;51;56;47;46
20;46;51;57;46;46
21;47;51;56;47;46
22;46;51;57;46;46
23;47;51;56;51;46
24;46;54;61;46;46
25;47;51;56;47;46
26;46;51;57;46;46
27;47;51;56;47;46
28;46;51;57;46;46
29;47;51;56;49;46
30;46;51;59;46;46
31;47;51;56;49;46
32;46;51;59;46;46
33;47;51;56;47;46
34;46;51;57;48;46
35;47;51;58;47;46
36;46;51;57;46;46
37;47;51;56;49;46
38;46;51;59;46;46
39;47;51;56;47;46
40;46;51;57;46;46
41;47;51;56;47;46
42;46;51;57;46;46
43;47;51;56;47;46
44;46;51;57;46;46
45;47;51;56;56;46
46;46;56;66;59;46
47;49;59;69;49;46
48;46;51;59;46;46
49;47;51;56;49;46
50;46;51;59;48;46
51;47;51;58;47;46
52;46;51;57;55;46
53;47;55;65;52;46
54;49;54;62;49;46
55;50;53;59;50;46
56;49;53;60;49;46
57;50;53;59;50;46
58;49;53;60;55;46
59;50;56;65;65;46
60;55;63;70;55;46
61;50;56;65;50;46
62;49;53;60;49;46
63;50;53;59;50;46
64;49;53;60;49;46
65;50;53;59;50;46
66;49;53;60;49;46
67;50;53;59;50;46
68;49;53;60;49;46
69;50;53;59;50;46
70;49;53;60;49;46
71;50;53;59;50;46
72;49;53;60;49;46
73;50;53;59;50;46
74;49;53;60;49;46
75;50;53;59;50;46
76;49;53;60;49;46
77;50;53;59;50;46
78;49;53;60;51;46
79;50;53;61;50;46
80;49;53;60;52;46
81;49;53;62;49;46
82;46;51;59;46;46
83;47;51;56;49;46
84;46;51;59;46;46
85;47;51;56;49;46
86;46;51;59;50;46
87;47;52;60;47;46
88;46;51;57;46;46
89;47;51;56;47;46
90;46;51;57;46;46
91;47;51;56;49;46
92;46;51;59;46;46
93;47;51;56;47;46
94;46;51;57;55;46
95;47;55;65;47;46
96;46;51;57;46;46
97;47;51;56;47;46
98;46;51;57;46;46
99;47;51;56;47;46
